© 2000-2024 QIAGEN. All rights reserved.

Canonical Pathways	IPA_CDIvsHC_adjp0.05 - 2023-06-20 10:47 am	IPA_CDIvsDC_adjp0.05 - 2023-06-20 11:11 am	IPA_CDIvsIBD_adjp0.05 - 2023-06-20 10:40 am	IPA_CDIvsGDH_adjp0.05 - 2023-06-20 11:03 am
Mouse Embryonic Stem Cell Pluripotency	2.598	0.302	-1.069	-2.0
SPINK1 General Cancer Pathway	2.6	0.0	-2.357	1.0
Glutathione Redox Reactions I	-1.508	-2.449	N/A	-2.0
Ephrin B Signaling	1.698	1.633	-1.265	-1.342
DNA damage-induced 14-3-3σ Signaling	0.6	-1.667	-1.633	-2.0
Role of PKR in Interferon Induction and Antiviral Response	3.111	0.243	-0.905	-1.633
Tumoricidal Function of Hepatic Natural Killer Cells	1.508	-1.89	-2.0	-0.447
Role of Tissue Factor in Cancer	0.976	-0.655	-1.0	-3.207
IL-3 Signaling	1.333	-1.667	-1.155	-1.633
GP6 Signaling Pathway	0.438	-2.53	-0.816	-2.0
Chemokine Signaling	0.522	-1.134	-2.0	-2.121
Methionine Degradation I (to Homocysteine)	-3.317	-2.449	N/A	N/A
Cysteine Biosynthesis III (mammalia)	-3.317	-2.449	N/A	N/A
PAK Signaling	2.596	0.0	-1.155	-2.0
Paxillin Signaling	3.0	0.0	-1.604	-1.134
Type II Diabetes Mellitus Signaling	-0.649	-2.53	1.414	-1.134
MSP-RON Signaling In Cancer Cells Pathway	2.582	-1.414	-0.728	-1.0
HIF1α Signaling	2.741	-1.257	-0.816	-0.905
DHCR24 Signaling Pathway	0.137	-2.887	-1.789	-0.816
NF-κB Activation by Viruses	-0.469	-3.207	-0.577	-1.342
Endoplasmic Reticulum Stress Pathway	0.707	-2.646	-2.236	N/A
Role of NFAT in Cardiac Hypertrophy	0.114	-1.606	-1.147	-2.714
Activin Inhibin Signaling Pathway	1.555	-0.728	-1.877	-1.414
Regulation of Actin-based Motility by Rho	1.151	-3.051	0.0	-1.342
14-3-3-mediated Signaling	0.603	-1.897	-1.387	-1.633
NER (Nucleotide Excision Repair, Enhanced Pathway)	-0.522	-3.922	0.0	1.0
eNOS Signaling	1.697	0.0	-1.508	-2.236
IL-2 Signaling	1.961	-0.447	-1.0	-2.0
Colorectal Cancer Metastasis Signaling	2.772	-1.279	-0.218	-1.134
Lymphotoxin β Receptor Signaling	0.0	-2.333	-1.0	-2.0
CCR3 Signaling in Eosinophils	1.061	-1.342	-0.905	-2.0
CLEAR Signaling Pathway	-1.878	-0.885	0.186	-2.357
Assembly of RNA Polymerase III Complex	-3.0	-2.236	N/A	N/A
STAT3 Pathway	2.48	-0.577	-0.832	-1.342
ERK/MAPK Signaling	1.65	1.706	0.218	-1.604
Actin Nucleation by ARP-WASP Complex	1.095	-2.53	-1.508	N/A
RHOA Signaling	1.633	-1.877	-0.277	-1.342
DNA Methylation and Transcriptional Repression Signaling	0.164	-2.673	-2.236	N/A
Xenobiotic Metabolism AHR Signaling Pathway	-0.73	-1.886	N/A	-2.449
PDGF Signaling	1.809	-0.378	-0.632	-2.236
Glutathione-mediated Detoxification	-0.577	-2.236	N/A	-2.236
Chronic Myeloid Leukemia Signaling	1.026	-1.947	0.378	-1.698
IL-10 Signaling	1.501	1.257	1.0	1.265
α-Adrenergic Signaling	0.539	-0.333	-1.897	-2.236
Fatty Acid β-oxidation I	0.0	-3.0	-2.0	N/A
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.343	-1.265	0.378	-1.0
Melatonin Signaling	0.0	-0.707	-2.236	-2.0
Valine Degradation I	-0.632	-2.236	-2.0	N/A
Endocannabinoid Cancer Inhibition Pathway	0.63	-0.447	-1.886	-1.897
UVA-Induced MAPK Signaling	1.043	-1.0	-0.707	-2.0
Nitric Oxide Signaling in the Cardiovascular System	0.762	-2.333	-1.633	N/A
Thrombopoietin Signaling	1.567	-1.89	-1.265	N/A
Interferon Signaling	1.387	-1.414	1.89	N/A
Methylglyoxal Degradation III	-2.449	-2.236	N/A	N/A
Dopamine Degradation	1.414	-1.0	-2.236	N/A
Glioma Signaling	0.469	-0.905	-1.265	-2.0
Tumor Microenvironment Pathway	3.395	-0.943	-0.229	0.0
BER (Base Excision Repair) Pathway	0.218	-3.0	-1.342	N/A
Epithelial Adherens Junction Signaling	2.668	-0.688	-0.853	0.277
CD40 Signaling	0.577	-1.89	-1.0	-1.0
VEGF Signaling	2.846	0.0	-1.155	-0.447
Phenylalanine Degradation IV (Mammalian, via Side Chain)	0.447	-2.0	-2.0	N/A
Tryptophan Degradation X (Mammalian, via Tryptamine)	-0.447	-2.0	-2.0	N/A
Thyroid Cancer Signaling	0.522	-1.667	-0.832	-1.342
IL-13 Signaling Pathway	3.042	0.302	-1.0	N/A
Ovarian Cancer Signaling	1.333	-0.707	-0.302	-2.0
HGF Signaling	0.885	-0.535	-1.265	-1.633
Ribonucleotide Reductase Signaling Pathway	1.068	-1.567	1.0	-0.632
HER-2 Signaling in Breast Cancer	0.426	0.729	0.853	-2.236
ERK5 Signaling	0.962	-0.277	-0.905	-2.0
Polyamine Regulation in Colon Cancer	-0.577	-1.0	-2.53	N/A
JAK/STAT Signaling	2.611	0.905	0.577	0.0
Inhibition of ARE-Mediated mRNA Degradation Pathway	1.291	1.177	0.905	0.707
Glioma Invasiveness Signaling	1.732	-1.342	-1.0	N/A
GM-CSF Signaling	2.959	0.378	-0.707	N/A
Sirtuin Signaling Pathway	1.725	1.0	-1.291	0.0
Cyclins and Cell Cycle Regulation	1.671	1.0	0.0	1.342
Putrescine Degradation III	0.0	-2.0	-2.0	N/A
Androgen Signaling	-0.354	-1.387	N/A	-2.236
Glycolysis I	-1.134	-2.828	N/A	N/A
TREM1 Signaling	3.13	0.832	N/A	N/A
Neuregulin Signaling	0.0	-1.155	-0.905	-1.89
WNK Renal Signaling Pathway	-0.898	-2.333	-0.632	N/A
AMPK Signaling	2.032	0.943	0.229	-0.632
Amyloid Processing	1.387	1.0	-0.447	-1.0
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	-0.816	-3.0	N/A	N/A
Colanic Acid Building Blocks Biosynthesis	-1.342	-2.449	N/A	N/A
ATM Signaling	-1.257	-1.091	1.414	0.0
Telomerase Signaling	2.0	1.069	0.302	-0.378
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	1.508	N/A	-2.236	N/A
PTEN Signaling	0.438	0.943	0.632	1.667
Acute Myeloid Leukemia Signaling	1.121	-1.155	-1.387	N/A
P2Y Purigenic Receptor Signaling Pathway	0.14	-1.886	-0.277	-1.342
Cancer Drug Resistance By Drug Efflux	1.0	0.0	-1.0	-1.633
MYC Mediated Apoptosis Signaling	0.962	-1.0	-0.816	-0.816
Dolichyl-diphosphooligosaccharide Biosynthesis	-1.134	-2.449	N/A	N/A
Ferroptosis Signaling Pathway	0.832	0.18	-1.147	-1.414
VEGF Family Ligand-Receptor Interactions	0.845	-1.414	-1.265	N/A
Inflammasome pathway	3.464	N/A	N/A	N/A
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	1.0	0.447	-2.0	N/A
IL-23 Signaling Pathway	0.209	-2.236	1.0	N/A
IGF-1 Signaling	1.718	0.277	-0.577	-0.816
IL-7 Signaling Pathway	0.73	0.0	-1.633	-1.0
Renal Cell Carcinoma Signaling	2.6	0.0	-0.707	N/A
Purine Nucleotides De Novo Biosynthesis II	-0.816	-2.449	N/A	N/A
mTOR Signaling	-0.544	-1.789	-0.535	-0.302
Melanoma Signaling	1.46	0.707	-1.0	N/A
ERBB4 Signaling	1.3	-0.816	-1.0	N/A
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.585	-0.408	0.535	0.535
Role of BRCA1 in DNA Damage Response	0.408	-1.633	0.0	-1.0
EGF Signaling	0.962	0.0	N/A	-2.0
Sumoylation Pathway	0.365	0.688	1.897	N/A
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	-0.905	N/A	N/A	-2.0
Agrin Interactions at Neuromuscular Junction	1.698	0.0	-0.707	-0.447
CSDE1 Signaling Pathway	-0.447	-1.941	-0.447	N/A
Oncostatin M Signaling	2.828	N/A	0.0	N/A
CNTF Signaling	2.449	N/A	-0.333	N/A
Tryptophan Degradation III (Eukaryotic)	-0.447	-2.333	N/A	N/A
tRNA Splicing	-0.655	-2.111	N/A	N/A
Estrogen-Dependent Breast Cancer Signaling	1.4	-0.632	-0.707	N/A
Hypoxia Signaling in the Cardiovascular System	1.732	0.0	-1.0	N/A
Sphingosine-1-phosphate Signaling	-0.295	-1.604	0.302	0.378
CD27 Signaling in Lymphocytes	-0.688	-1.414	N/A	-0.447
BAG2 Signaling Pathway	0.0	-1.155	-1.342	N/A
Glioblastoma Multiforme Signaling	0.391	-0.258	-1.508	-0.333
Mevalonate Pathway I	0.0	-2.449	N/A	N/A
Phosphatidylcholine Biosynthesis I	2.449	N/A	N/A	N/A
Acyl-CoA Hydrolysis	-0.378	-2.0	N/A	N/A
Cell Cycle: G1/S Checkpoint Regulation	-1.347	-0.577	N/A	0.447
Leptin Signaling in Obesity	2.357	N/A	N/A	N/A
PI3K/AKT Signaling	0.277	-0.943	-0.832	0.302
Regulation of Cellular Mechanics by Calpain Protease	0.218	-1.0	-1.134	N/A
RAN Signaling	-0.707	-1.633	N/A	N/A
Growth Hormone Signaling	0.169	-0.816	0.0	-1.342
Apoptosis Signaling	0.577	-1.147	-0.277	-0.302
Granzyme B Signaling	0.632	-1.633	N/A	N/A
Thioredoxin Pathway	2.236	N/A	N/A	N/A
Ketogenesis	N/A	-2.236	N/A	N/A
Non-Small Cell Lung Cancer Signaling	1.461	0.378	-0.333	N/A
PPARα/RXRα Activation	-1.016	0.0	0.447	0.707
Protein Kinase A Signaling	0.43	0.802	0.6	-0.302
Leukotriene Biosynthesis	2.121	N/A	N/A	N/A
Glutaryl-CoA Degradation	0.0	-2.121	N/A	N/A
Estrogen-mediated S-phase Entry	0.775	-1.342	N/A	N/A
Inhibition of Angiogenesis by TSP1	0.577	-1.0	-0.447	N/A
Aspartate Degradation II	N/A	-2.0	N/A	N/A
GDP-mannose Biosynthesis	N/A	-2.0	N/A	N/A
Cell Cycle Regulation by BTG Family Proteins	1.897	N/A	N/A	N/A
Angiopoietin Signaling	-0.229	0.0	-1.134	-0.447
LXR/RXR Activation	0.174	-1.0	0.632	N/A
Endometrial Cancer Signaling	1.043	-0.378	-0.333	N/A
Regulation of eIF4 and p70S6K Signaling	1.257	0.0	0.0	0.447
Semaphorin Neuronal Repulsive Signaling Pathway	0.13	0.302	0.632	-0.447
Huntington's Disease Signaling	-0.137	0.447	0.577	0.333
Urate Biosynthesis/Inosine 5'-phosphate Degradation	0.0	-1.342	N/A	N/A
p53 Signaling	0.557	-0.333	-0.378	N/A
FAT10 Signaling Pathway	-1.134	N/A	N/A	N/A
CDP-diacylglycerol Biosynthesis I	1.069	N/A	N/A	N/A
Role of p14/p19ARF in Tumor Suppression	-1.069	0.0	N/A	N/A
Histidine Degradation III	N/A	-1.0	N/A	N/A
Acetate Conversion to Acetyl-CoA	1.0	N/A	N/A	N/A
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	0.0	-0.707	0.0	N/A
Leucine Degradation I	-0.447	N/A	N/A	N/A
Pentose Phosphate Pathway	0.378	N/A	N/A	N/A
Inosine-5'-phosphate Biosynthesis II	N/A	N/A	N/A	N/A
UDP-D-xylose and UDP-D-glucuronate Biosynthesis	N/A	N/A	N/A	N/A
Iron homeostasis signaling pathway	N/A	N/A	N/A	N/A
Formaldehyde Oxidation II (Glutathione-dependent)	N/A	N/A	N/A	N/A
Protein Ubiquitination Pathway	N/A	N/A	N/A	N/A
Hypusine Biosynthesis	N/A	N/A	N/A	N/A
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	N/A	N/A	N/A	N/A
Flavin Biosynthesis IV (Mammalian)	N/A	N/A	N/A	N/A
Serine Biosynthesis	N/A	N/A	N/A	N/A
Sertoli Cell-Sertoli Cell Junction Signaling	N/A	N/A	N/A	N/A
Parkinson's Signaling	N/A	N/A	N/A	N/A
Arginine Degradation I (Arginase Pathway)	N/A	N/A	N/A	N/A
Glucocorticoid Receptor Signaling	N/A	N/A	N/A	N/A
L-cysteine Degradation III	N/A	N/A	N/A	N/A
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	N/A	N/A	N/A	N/A
Docosahexaenoic Acid (DHA) Signaling	N/A	N/A	N/A	N/A
Branched-chain α-keto acid Dehydrogenase Complex	N/A	N/A	N/A	N/A
Spermine and Spermidine Degradation I	0.0	N/A	N/A	N/A
Phosphatidylethanolamine Biosynthesis III	N/A	N/A	N/A	N/A
Molecular Mechanisms of Cancer	N/A	N/A	N/A	N/A
Virus Entry via Endocytic Pathways	N/A	N/A	N/A	N/A
Lanosterol Biosynthesis	N/A	N/A	N/A	N/A
Nucleotide Excision Repair Pathway	N/A	N/A	N/A	N/A
Folate Polyglutamylation	N/A	N/A	N/A	N/A
Phenylethylamine Degradation I	N/A	N/A	N/A	N/A
Germ Cell-Sertoli Cell Junction Signaling	N/A	N/A	N/A	N/A
Melatonin Degradation II	N/A	N/A	N/A	N/A
2-ketoglutarate Dehydrogenase Complex	N/A	N/A	N/A	N/A
Cardiolipin Biosynthesis II	N/A	N/A	N/A	N/A
L-glutamine Biosynthesis II (tRNA-dependent)	N/A	N/A	N/A	N/A
Hereditary Breast Cancer Signaling	N/A	N/A	N/A	N/A
Prostate Cancer Signaling	N/A	N/A	N/A	N/A
Clathrin-mediated Endocytosis Signaling	N/A	N/A	N/A	N/A
Phagosome Maturation	N/A	N/A	N/A	N/A
Epoxysqualene Biosynthesis	N/A	N/A	N/A	N/A
Role of MAPK Signaling in the Pathogenesis of Influenza	N/A	N/A	N/A	N/A
Role of JAK1 and JAK3 in γc Cytokine Signaling	N/A	N/A	N/A	N/A
Th1 and Th2 Activation Pathway	N/A	N/A	N/A	N/A
Superpathway of Serine and Glycine Biosynthesis I	N/A	N/A	N/A	N/A
Antigen Presentation Pathway	N/A	N/A	N/A	N/A
Mechanisms of Viral Exit from Host Cells	N/A	N/A	N/A	N/A
Oxidized GTP and dGTP Detoxification	N/A	N/A	N/A	N/A
Tetrahydrofolate Salvage from 5,10-methenyltetrahydrofolate	N/A	N/A	N/A	N/A
Primary Immunodeficiency Signaling	N/A	N/A	N/A	N/A
D-glucuronate Degradation I	N/A	N/A	N/A	N/A
Caveolar-mediated Endocytosis Signaling	N/A	N/A	N/A	N/A
Xenobiotic Metabolism Signaling	N/A	N/A	N/A	N/A
2-oxobutanoate Degradation I	N/A	N/A	N/A	N/A
